ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,Age Group
13826,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,No,Young
20619,Single,Male,80000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,No,Young
12558,Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No,Senior
24871,Single,Female,90000,4,High School,Management,No,3,5-10 Miles,Europe,56,No,Middle-aged
17319,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,No,Middle-aged
28906,Married,Male,80000,4,High School,Professional,Yes,2,10+ Miles,Europe,54,No,Middle-aged
12808,Married,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes,Young
20567,Married,Male,130000,4,Partial College,Professional,No,4,5-10 Miles,Europe,61,Yes,Senior
25502,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes,Middle-aged
15580,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Yes,Young
24185,Single,Female,10000,1,High School,Manual,No,1,1-2 Miles,Europe,45,No,Middle-aged
19291,Single,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No,Young
16713,Married,Male,40000,2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,Yes,Middle-aged
16185,Single,Male,60000,4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41,No,Middle-aged
14927,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Young
29337,Single,Male,30000,2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,No,Senior
29355,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Young
25303,Single,Male,30000,0,High School,Manual,Yes,1,2-5 Miles,Europe,33,Yes,Young
14813,Single,Female,20000,4,High School,Manual,Yes,1,0-1 Miles,Europe,43,Yes,Middle-aged
16438,Married,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,No,Young
14238,Married,Male,120000,0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,36,Yes,Young
16200,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,No,Young
24857,Married,Female,130000,3,High School,Professional,Yes,4,0-1 Miles,Europe,52,No,Middle-aged
26956,Single,Female,20000,0,Partial College,Manual,No,1,2-5 Miles,Europe,36,Yes,Young
14517,Married,Female,20000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,No,Senior
12678,Single,Female,130000,4,High School,Management,Yes,4,0-1 Miles,Pacific,31,No,Young
16188,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,No,Young
27969,Married,Male,80000,0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,29,Yes,Young
15752,Married,Male,80000,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Yes,Middle-aged
27745,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,Yes,Senior
20828,Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Yes,Middle-aged
19461,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,No,Middle-aged
26941,Married,Male,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Yes,Middle-aged
28412,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,No,Young
24485,Single,Male,40000,2,Bachelors,Management,No,1,5-10 Miles,Pacific,52,Yes,Middle-aged
16514,Single,Male,10000,0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Yes,Young
17191,Single,Male,130000,3,Partial College,Professional,No,3,0-1 Miles,Europe,51,Yes,Middle-aged
19608,Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No,Middle-aged
24119,Single,Male,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No,Young
25458,Married,Male,20000,1,High School,Manual,No,1,1-2 Miles,Europe,40,Yes,Middle-aged
26886,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Yes,Young
28436,Single,Male,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Yes,Young
19562,Single,Female,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Yes,Young
15608,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,No,Young
16487,Single,Female,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No,Middle-aged
17197,Single,Female,90000,5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,No,Senior
12507,Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No,Middle-aged
23940,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44,Yes,Middle-aged
19441,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,25,Yes,Young
26852,Married,Female,20000,3,High School,Manual,Yes,2,0-1 Miles,Europe,43,No,Middle-aged
12274,Single,Male,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No,Young
20236,Single,Male,60000,3,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,Yes,Middle-aged
24149,Married,Male,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,No,Middle-aged
26139,Single,Male,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,No,Middle-aged
18491,Single,Female,70000,2,High School,Professional,Yes,2,5-10 Miles,Pacific,49,Yes,Middle-aged
22707,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No,Young
20430,Married,Male,70000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes,Middle-aged
27494,Single,Female,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53,Yes,Middle-aged
26829,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes,Young
28395,Single,Male,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,39,Yes,Young
21006,Single,Female,30000,1,Partial College,Manual,No,0,0-1 Miles,Europe,46,Yes,Middle-aged
14682,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,No,Young
17650,Single,Female,40000,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,No,Young
29191,Single,Female,130000,1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,Yes,Young
15030,Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,Yes,Young
24140,Single,Male,10000,0,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30,Yes,Young
22496,Married,Female,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42,No,Middle-aged
24065,Single,Female,20000,0,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes,Middle-aged
19914,Married,Male,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,No,Senior
12871,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No,Young
22988,Married,Female,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Yes,Senior
15922,Married,Male,150000,2,High School,Professional,Yes,4,0-1 Miles,Europe,48,No,Middle-aged
12344,Single,Female,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,No,Young
23627,Single,Female,100000,3,Partial College,Management,No,4,5-10 Miles,Europe,56,No,Middle-aged
27775,Single,Female,40000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Yes,Young
29301,Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No,Middle-aged
12716,Single,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,No,Young
12472,Married,Male,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,No,Young
20970,Single,Male,10000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Yes,Middle-aged
26818,Single,Male,10000,3,High School,Manual,Yes,1,0-1 Miles,Europe,39,Yes,Young
12993,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,No,Young
14192,Married,Male,90000,4,High School,Management,Yes,3,5-10 Miles,Europe,56,Yes,Middle-aged
19477,Married,Male,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,Yes,Middle-aged
26796,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Yes,Senior
21094,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No,Middle-aged
12234,Married,Male,10000,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,No,Middle-aged
28683,Single,Female,10000,1,High School,Manual,No,1,5-10 Miles,Europe,35,Yes,Young
17994,Single,Male,20000,2,High School,Manual,Yes,2,0-1 Miles,Europe,42,No,Middle-aged
24273,Married,Female,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Yes,Middle-aged
26547,Single,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,Yes,Senior
22500,Single,Male,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Yes,Middle-aged
23993,Single,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes,Young
14832,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Yes,Middle-aged
16614,Married,Female,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,No,Young
20877,Single,Male,30000,1,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37,Yes,Young
20729,Married,Female,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,No,Young
22464,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Young
19475,Married,Female,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Yes,Middle-aged
19675,Married,Male,20000,4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,No,Senior
12728,Single,Male,30000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,No,Young
26154,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,43,Yes,Middle-aged
29117,Single,Male,100000,1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,No,Middle-aged
17845,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,No,Young
25058,Married,Male,100000,1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,No,Middle-aged
23426,Single,Male,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,No,Middle-aged
14798,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Yes,Middle-aged
12664,Married,Female,130000,5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,No,Middle-aged
23979,Single,Male,10000,2,Partial College,Manual,No,0,0-1 Miles,Europe,50,No,Middle-aged
25605,Single,Female,20000,2,Partial College,Manual,No,1,0-1 Miles,Europe,54,Yes,Middle-aged
20797,Married,Female,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No,Middle-aged
21980,Single,Female,60000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,Yes,Middle-aged
25460,Married,Female,20000,2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes,Middle-aged
29181,Single,Female,60000,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,Yes,Young
24279,Single,Male,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52,No,Middle-aged
22402,Married,Male,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25,Yes,Young
15465,Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,No,Young
26757,Single,Male,90000,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Yes,Middle-aged
14233,Single,Male,100000,0,High School,Management,Yes,3,10+ Miles,Pacific,35,No,Young
14058,Single,Male,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Yes,Middle-aged
12273,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No,Middle-aged
17203,Married,Female,130000,4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Yes,Senior
18144,Married,Female,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,No,Senior
23963,Married,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,No,Young
17907,Married,Female,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,No,Young
19442,Single,Male,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37,Yes,Young
17504,Single,Female,80000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes,Middle-aged
12253,Single,Female,20000,0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,Yes,Young
27304,Single,Female,110000,2,Partial College,Professional,No,3,5-10 Miles,Europe,48,No,Middle-aged
14191,Married,Male,160000,4,Partial College,Professional,No,2,10+ Miles,Europe,55,Yes,Middle-aged
12212,Married,Female,10000,0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Yes,Young
25529,Single,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,No,Middle-aged
22170,Married,Female,30000,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,55,Yes,Middle-aged
19445,Married,Female,10000,2,High School,Manual,No,1,0-1 Miles,Europe,38,No,Young
15265,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Yes,Senior
28918,Married,Female,130000,4,High School,Management,No,4,10+ Miles,Europe,58,No,Middle-aged
15799,Married,Female,90000,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Yes,Middle-aged
11047,Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,Yes,Middle-aged
18151,Single,Male,80000,5,Partial College,Professional,No,2,10+ Miles,Europe,59,No,Middle-aged
20606,Married,Female,70000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,32,Yes,Young
19482,Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44,Yes,Middle-aged
16489,Married,Male,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No,Middle-aged
26944,Single,Male,90000,2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Yes,Young
15682,Single,Female,80000,5,Bachelors,Management,Yes,2,10+ Miles,Europe,62,No,Senior
26032,Married,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,41,No,Middle-aged
17843,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No,Young
25559,Single,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25,Yes,Young
16209,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,1-2 Miles,Europe,36,No,Young
11147,Married,Male,60000,2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,Yes,Senior
15214,Single,Female,100000,0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Yes,Young
11453,Single,Male,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,33,Yes,Young
24584,Single,Male,60000,0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31,No,Young
12585,Married,Male,10000,1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Yes,Young
18626,Single,Male,40000,2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,33,Yes,Young
29298,Single,Female,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Yes,Middle-aged
24842,Single,Female,90000,3,High School,Professional,No,1,2-5 Miles,Europe,51,No,Middle-aged
15657,Married,Male,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Yes,Middle-aged
11415,Single,Male,90000,5,Partial College,Professional,No,2,10+ Miles,Europe,62,No,Senior
28729,Single,Female,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26,Yes,Young
22633,Single,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Young
25649,Single,Female,30000,3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,Yes,Middle-aged
14669,Married,Female,80000,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,No,Young
19299,Married,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Yes,Young
20946,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No,Young
11451,Single,Male,70000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,31,Yes,Young
25553,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Yes,Senior
27951,Single,Male,80000,4,Partial College,Professional,No,2,2-5 Miles,Europe,54,Yes,Middle-aged
25026,Married,Male,20000,2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54,No,Middle-aged
13673,Single,Female,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,25,No,Young
16043,Single,Male,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No,Middle-aged
22399,Single,Male,10000,0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Yes,Young
27696,Married,Male,60000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43,Yes,Middle-aged
25313,Single,Male,10000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,No,Young
13813,Married,Female,30000,3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,No,Middle-aged
18711,Single,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,No,Young
19650,Married,Female,30000,2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67,No,Senior
14135,Married,Male,20000,1,Partial College,Manual,Yes,0,1-2 Miles,Europe,35,No,Young
12833,Single,Female,20000,3,High School,Manual,Yes,1,0-1 Miles,Europe,42,Yes,Middle-aged
26849,Married,Male,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No,Middle-aged
20962,Married,Female,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,Middle-aged
28915,Single,Male,80000,5,High School,Management,Yes,3,10+ Miles,Europe,57,No,Middle-aged
22830,Married,Male,120000,4,Partial College,Management,Yes,3,10+ Miles,Europe,56,No,Middle-aged
14777,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes,Young
12591,Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No,Middle-aged
24174,Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,Yes,Young
24611,Single,Male,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,Yes,Young
11340,Married,Female,10000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Yes,Senior
25693,Single,Female,30000,5,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Yes,Middle-aged
25555,Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes,Young
22006,Married,Male,70000,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,No,Middle-aged
20060,Single,Female,30000,0,High School,Manual,No,1,2-5 Miles,Europe,34,Yes,Young
17702,Married,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,No,Young
12503,Single,Female,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,No,Young
23908,Single,Male,30000,1,Bachelors,Clerical,No,1,0-1 Miles,Europe,39,Yes,Young
22527,Single,Female,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,No,Young
19057,Married,Female,120000,3,Bachelors,Management,No,2,10+ Miles,Europe,52,Yes,Middle-aged
18494,Married,Male,110000,5,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,Yes,Middle-aged
11249,Married,Female,130000,3,Partial College,Professional,Yes,3,0-1 Miles,Europe,51,Yes,Middle-aged
21568,Married,Female,100000,0,High School,Management,Yes,4,10+ Miles,Pacific,34,Yes,Young
13981,Married,Female,10000,5,High School,Skilled Manual,No,3,1-2 Miles,Pacific,62,No,Senior
23432,Single,Male,70000,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,37,Yes,Young
22931,Married,Male,100000,5,Graduate Degree,Management,No,1,1-2 Miles,Pacific,78,Yes,Senior
18172,Married,Male,130000,4,High School,Professional,Yes,3,0-1 Miles,Europe,55,No,Middle-aged
12666,Single,Male,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,No,Young
20598,Married,Male,100000,3,Partial High School,Professional,Yes,0,10+ Miles,Europe,59,Yes,Middle-aged
21375,Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,57,No,Middle-aged
20839,Single,Female,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,47,Yes,Middle-aged
21738,Married,Male,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,43,No,Middle-aged
14164,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Yes,Young
14193,Single,Female,100000,3,Partial College,Management,Yes,4,10+ Miles,Europe,56,No,Middle-aged
12705,Married,Male,150000,0,Bachelors,Management,Yes,4,0-1 Miles,Pacific,37,Yes,Young
22672,Single,Female,30000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43,No,Middle-aged
26219,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,1,1-2 Miles,Europe,33,Yes,Young
28468,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,51,No,Middle-aged
23419,Single,Female,70000,5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,39,No,Young
17964,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes,Young
20919,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No,Middle-aged
20927,Single,Female,20000,5,High School,Manual,Yes,2,0-1 Miles,Europe,27,No,Young
13133,Single,Male,100000,5,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47,Yes,Middle-aged
